t,bridge_q,tip_y,pan_y,pan_pitch,hinge_drift,pipes_inside,pipes_crossed,gate_q,bridge_prop_angle,rack_hand_work,bridge_hand_work,plastic_work,penetration,plastic_front,ke,pe
10.125,-0.000303639884805,0.593937456608,2.40153074265,-6.00498133281e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,5.80817179622,588208.025323
10.1361111111,-0.00027634575963,0.594482958317,2.40139555931,-5.76457423449e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,6.37979655624,588207.377742
10.1472222222,-0.000247502495768,0.595059812069,2.40125107765,-5.76457423449e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,6.98500191195,588206.743318
10.1583333333,-0.000217108070501,0.595667719841,2.40109944344,-5.76457423449e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,7.62385521381,588206.089013
10.1694444444,-0.000185160359251,0.596306562424,2.40093970299,-5.76457423449e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,8.29641825798,588205.349864
10.1805555556,-0.000151658634422,0.596976697445,2.40077185631,-5.76457423449e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,9.00280027822,588204.440328
10.1916666667,-0.000116602546768,0.597677767277,2.40059638023,-5.76457423449e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,9.74310359139,588203.504771
10.2027777778,-7.99908011686e-05,0.598409891129,2.40041351318,-5.76457423449e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,10.517427704,588202.546118
10.2138888889,-4.18080890086e-05,0.599173545837,2.40022277832,-5.35480539838e-05,5.34062928637e-05,20,20,1.89662480354,0.014365199022,41.5200233459,0,0,0,0,11.3278541382,588201.579337
10.225,-2.96140115097e-06,0.599950134754,2.4000248909,-5.35480539838e-05,4.6536228183e-05,20,20,1.89662480354,0.0143694309518,41.5200233459,0,0,0,0,11.0403425137,588200.110046
10.2361111111,2.77274466498e-05,0.600560665131,2.39987134933,-5.88993389101e-05,3.16459700116e-05,20,20,1.89662480354,0.0143806673586,41.5200233459,0,0,0,0,5.53280638854,588197.950843
10.2472222222,4.06517756346e-05,0.600817084312,2.39980840683,-6.64811595925e-05,3.28602727677e-05,20,20,1.89662480354,0.0143849775195,41.5200233459,0,0,0,0,1.14160184355,588197.285955
10.2583333333,3.32685231115e-05,0.600668609142,2.39984488487,-6.8981651566e-05,3.31770388584e-05,20,20,1.89662480354,0.0143932066858,41.5200233459,0,0,0,0,2.44735840149,588197.6486
10.2694444444,9.78464140644e-06,0.600199878216,2.39996147156,-6.17307450739e-05,3.88680782635e-05,20,20,1.89662480354,0.0143858063966,41.5200233459,0,0,0,0,6.51858508134,588198.905461
10.2805555556,-2.10613779927e-05,0.599585652351,2.40011191368,-5.40947039553e-05,5.37833439012e-05,20,20,1.89662480354,0.0143632311374,41.5200233459,0,0,0,0,7.95602062011,588200.624193
